	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1102:10349:21210;size=1;	0	0	1	0	1	28	20	0	0	0	0	10	3	2	0	0
M02144:85:000000000-B48VY:1:1102:10469:18365;size=1;	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10606:21941;size=1;	1	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10685:23528;size=1;	1	2	4	7	8	1438	1322	2	5	8	1	226	4	17	4	3
M02144:85:000000000-B48VY:1:1102:10813:2259;size=1;	0	0	0	0	0	0	0	0	0	45	27	4	0	0	0	0
M02144:85:000000000-B48VY:1:1102:10935:13750;size=1;	0	0	0	0	0	0	0	2	0	0	0	0	98	0	0	0
M02144:85:000000000-B48VY:1:1102:11449:15310;size=1;	0	0	0	0	3	0	0	0	0	0	0	0	5	28	0	0
M02144:85:000000000-B48VY:1:1102:11687:9889;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:11965:20083;size=1;	0	0	0	1	0	0	0	0	0	64	1	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:12078:14295;size=1;	0	0	0	0	0	0	0	235	149	0	0	2	387	0	0	0
M02144:85:000000000-B48VY:1:1102:13142:13836;size=1;	0	0	0	34	16	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13169:20510;size=1;	0	0	0	0	0	0	0	0	0	47	5	3	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13255:10926;size=1;	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13536:13033;size=1;	0	0	0	21	15	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:13610:19276;size=1;	0	0	0	0	0	0	0	47	31	0	0	0	52	0	0	0
M02144:85:000000000-B48VY:1:1102:13957:6425;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1102:14619:9986;size=1;	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:15096:14216;size=1;	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0
