	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:2102:18483:11736;size=1;	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:18830:24004;size=1;	0	0	0	30	49	0	0	0	0	0	0	0	0	1	0	1
M02144:85:000000000-B48VY:1:2102:19005:21999;size=1;	0	0	0	5	1	0	0	0	0	0	24	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:19044:12600;size=1;	0	0	0	1	0	0	0	0	0	67	462	286	0	2	0	0
M02144:85:000000000-B48VY:1:2102:19582:12019;size=1;	0	0	0	145	76	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:20079:12357;size=1;	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:20091:22304;size=2;	0	0	0	1	0	0	0	1	0	0	0	0	5	98	0	0
M02144:85:000000000-B48VY:1:2102:20102:10288;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
M02144:85:000000000-B48VY:1:2102:20105:4382;size=1;	0	0	0	0	0	43	37	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:20246:6482;size=1;	0	0	0	86	148	0	0	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:2102:20316:21098;size=1;	38	21	415	172855	73240	33	22	31	22	377	20	130	23	12	12	19
M02144:85:000000000-B48VY:1:2102:20463:4012;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	65	9	0	0
M02144:85:000000000-B48VY:1:2102:20465:17914;size=1;	0	0	0	0	0	0	0	63	38	0	0	1	67	0	0	0
M02144:85:000000000-B48VY:1:2102:20732:6087;size=1;	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:21082:14673;size=1;	0	0	0	0	0	0	0	2	0	0	0	1	132	104	0	0
M02144:85:000000000-B48VY:1:2102:21188:11664;size=1;	0	0	0	0	0	0	0	15	9	0	0	2	1	0	0	0
M02144:85:000000000-B48VY:1:2102:21301:4458;size=1;	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:21322:21988;size=1;	0	0	0	37	42	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:21615:3784;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:21657:21455;size=1;	0	0	0	31	20	1	1	577	221	817	242	1275	2	1	0	1
M02144:85:000000000-B48VY:1:2102:21767:16400;size=1;	0	0	0	1	1	0	0	2	0	0	2	43	0	0	0	0
M02144:85:000000000-B48VY:1:2102:21769:16979;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	20	57	0	0
M02144:85:000000000-B48VY:1:2102:21822:10079;size=1;	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:2102:21928:8955;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0
M02144:85:000000000-B48VY:1:2102:22230:6870;size=1;	0	0	3	0	5	2	0	1	0	4	88	10	803	3792	3	1
M02144:85:000000000-B48VY:1:2102:22358:2631;size=1;	111762	81991	353	86	56	62	1	11	6	24	9	14	9	6	8	3
M02144:85:000000000-B48VY:1:2102:22414:6799;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:22498:17842;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:22619:22550;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	12	100	0	0
M02144:85:000000000-B48VY:1:2102:22782:17690;size=1;	0	0	0	0	0	0	0	16	6	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:2102:22916:16688;size=1;	0	0	0	1	0	236	224	0	0	2	0	2	0	0	94	0
M02144:85:000000000-B48VY:1:2102:23011:18244;size=1;	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23333:19370;size=1;	0	0	0	0	0	39	37	0	0	0	0	0	0	4	0	0
M02144:85:000000000-B48VY:1:2102:23447:23915;size=1;	0	0	0	32	23	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23517:13894;size=1;	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23519:9147;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23591:11201;size=1;	77	494	0	0	0	7	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23685:18639;size=1;	0	0	0	0	0	0	0	30	2	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:2102:23692:16815;size=1;	0	0	0	0	0	0	0	0	0	157	0	12	0	0	0	0
M02144:85:000000000-B48VY:1:2102:23862:7696;size=1;	0	0	0	1	0	0	0	79	37	0	0	0	66	70	0	0
M02144:85:000000000-B48VY:1:2102:23914:11746;size=1;	0	0	0	24	23	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24093:9340;size=1;	0	0	0	0	0	46	31	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24134:20837;size=1;	0	0	0	0	0	1	1	0	0	10	10	5	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24207:13771;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
M02144:85:000000000-B48VY:1:2102:24612:19175;size=1;	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24675:16918;size=1;	1	0	0	0	0	8	21	1	0	0	0	38	0	2	1	0
M02144:85:000000000-B48VY:1:2102:24693:9541;size=1;	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24701:19913;size=1;	0	6	0	5	0	13	0	14	6	2	0	28	0	0	0	0
M02144:85:000000000-B48VY:1:2102:24719:16754;size=1;	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0
M02144:85:000000000-B48VY:1:2102:25007:16662;size=1;	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:25043:18673;size=1;	0	0	1	66	28	17	5	36	20	1	1	2	0	1	0	1
M02144:85:000000000-B48VY:1:2102:25202:3478;size=2;	0	0	0	0	0	0	0	0	1	1	0	0	34	9	0	0
M02144:85:000000000-B48VY:1:2102:25345:20736;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0
M02144:85:000000000-B48VY:1:2102:25417:16548;size=1;	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:25723:14280;size=1;	1	39	1	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:25960:15739;size=1;	0	0	1	1203	610	0	1	3	1	3	0	1	1	0	0	0
M02144:85:000000000-B48VY:1:2102:26001:10982;size=1;	0	1	0	1220	734	1	0	1	0	48	1	2	0	1	0	0
M02144:85:000000000-B48VY:1:2102:26014:20574;size=1;	0	0	0	0	0	17	23	0	0	0	0	4	0	0	0	0
M02144:85:000000000-B48VY:1:2102:26050:9286;size=1;	0	0	0	0	0	0	0	0	0	55	0	5	0	0	0	0
M02144:85:000000000-B48VY:1:2102:26058:15098;size=1;	0	1	0	0	0	0	0	20	29	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:2102:26688:8215;size=1;	0	0	0	0	0	0	0	0	0	56	85	16	0	0	0	0
M02144:85:000000000-B48VY:1:2102:26722:17679;size=1;	0	0	0	60	49	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:26937:12421;size=1;	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:27323:20667;size=1;	0	0	0	42	19	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:27426:10823;size=1;	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:28374:14053;size=8;	0	3	460	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:28376:16745;size=1;	0	0	0	42	11	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:29260:12672;size=1;	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:2102:4874:15441;size=1;	0	0	0	0	1	0	0	22	31	0	0	2	169	183	0	0
M02144:85:000000000-B48VY:1:2102:6137:15972;size=1;	0	0	0	63	35	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:6235:11255;size=1;	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:6326:12365;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0
M02144:85:000000000-B48VY:1:2102:6763:17762;size=1;	0	0	0	0	0	0	0	30	31	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:2102:6904:21867;size=1;	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:7037:11274;size=1;	0	0	0	57	31	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:7144:12366;size=1;	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:7274:12556;size=1;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:2102:7511:11306;size=1;	0	0	0	159	108	0	0	1	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:7944:21969;size=1;	0	0	0	1	0	0	0	0	0	23	4	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:8232:4916;size=2;	0	0	0	0	1	146	70	0	1	0	0	4	0	0	1	0
M02144:85:000000000-B48VY:1:2102:8413:19172;size=1;	0	0	0	0	0	0	0	23	0	0	0	1	1	0	0	0
M02144:85:000000000-B48VY:1:2102:9148:16022;size=1;	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:9314:9239;size=1;	0	0	0	0	0	34	40	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:9375:21987;size=1;	0	0	0	0	0	0	0	51	23	1	0	1	27	16	0	0
M02144:85:000000000-B48VY:1:2102:9424:9393;size=1;	0	0	0	19	5	0	0	6	4	10	6	0	0	0	0	0
M02144:85:000000000-B48VY:1:2102:9586:7277;size=1;	0	0	0	0	0	0	0	0	0	0	0	1	30	1	0	0
M02144:85:000000000-B48VY:1:2102:9618:4726;size=1;	0	0	0	3023	1962	1	1	1	1	0	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:2102:9659:17870;size=1;	0	0	0	1	0	2	0	0	0	0	0	108	0	0	0	0
M02144:85:000000000-B48VY:1:2102:9743:10494;size=1;	0	0	0	0	0	0	0	191	98	0	0	0	84	1	0	0
M02144:85:000000000-B48VY:1:2103:10432:9738;size=1;	0	0	0	0	0	0	0	11	11	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:2103:10561:4930;size=1;	0	0	0	0	0	53	22	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:10643:15699;size=1;	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:10697:4344;size=1;	2	0	0	2	6	1679	1331	4	2	0	0	0	1	1	2	1
M02144:85:000000000-B48VY:1:2103:11045:17652;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0
M02144:85:000000000-B48VY:1:2103:11228:9068;size=1;	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:11290:16091;size=1;	0	0	0	0	0	0	0	42	6	0	0	0	162	1	0	0
M02144:85:000000000-B48VY:1:2103:11515:6329;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0
M02144:85:000000000-B48VY:1:2103:11638:21035;size=1;	0	0	0	0	0	1	0	11	9	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:11643:22236;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
M02144:85:000000000-B48VY:1:2103:11808:3680;size=1;	0	0	0	0	0	0	0	0	0	59	0	8	0	0	0	0
M02144:85:000000000-B48VY:1:2103:11841:16489;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:2103:12012:2215;size=1;	0	0	0	0	0	0	0	39	12	0	0	0	32	0	0	0
M02144:85:000000000-B48VY:1:2103:12273:21401;size=1;	0	0	0	0	0	0	0	19	12	0	0	0	8	0	0	0
M02144:85:000000000-B48VY:1:2103:12294:8697;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0
M02144:85:000000000-B48VY:1:2103:12710:10473;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
M02144:85:000000000-B48VY:1:2103:12852:18419;size=1;	0	0	0	0	0	0	0	28	13	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:2103:12983:19141;size=2;	0	0	0	173	139	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:13134:2527;size=1;	0	0	0	0	1	0	0	15	7	0	0	0	9	14	0	0
M02144:85:000000000-B48VY:1:2103:13225:8164;size=1;	0	0	0	38	13	13	0	64	47	0	0	4	0	0	0	1
M02144:85:000000000-B48VY:1:2103:13458:15169;size=1;	0	0	0	0	0	0	0	12	13	0	0	0	55	0	0	0
M02144:85:000000000-B48VY:1:2103:13571:13449;size=1;	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:13674:7154;size=1;	0	0	0	0	0	0	0	53	24	1	0	4	1	14	0	0
M02144:85:000000000-B48VY:1:2103:13899:18229;size=1;	0	0	0	0	0	0	0	370	202	0	0	2	231	5	0	0
M02144:85:000000000-B48VY:1:2103:14321:6267;size=2;	0	0	0	0	0	4	2	0	0	2	0	5	2	0	185	0
M02144:85:000000000-B48VY:1:2103:14349:7043;size=1;	0	0	0	89	18	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:14358:4592;size=2;	0	0	0	0	1	5	6	0	0	2	3	0	2	43	4	0
M02144:85:000000000-B48VY:1:2103:14365:2263;size=1;	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:14456:17388;size=1;	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
M02144:85:000000000-B48VY:1:2103:14580:13029;size=1;	3	2	64	3	5	1879	2170	3	4	0	1	9937	0	0	4	1
M02144:85:000000000-B48VY:1:2103:14596:20595;size=1;	0	0	0	0	1	0	0	69	73	0	0	0	109	1	0	0
M02144:85:000000000-B48VY:1:2103:14633:12377;size=1;	0	0	0	15	18	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:14747:17571;size=1;	0	4	0	3	8	15	0	29	26	0	0	85	0	3	0	1
M02144:85:000000000-B48VY:1:2103:14827:16423;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
M02144:85:000000000-B48VY:1:2103:14835:4628;size=1;	0	56	0	3	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:15002:5364;size=1;	0	0	0	0	0	0	0	6	1	0	0	1	2	4	0	0
M02144:85:000000000-B48VY:1:2103:15010:5210;size=1;	0	0	5	5	7	0	0	1	1	0	0	1	21	149	0	0
M02144:85:000000000-B48VY:1:2103:15327:13758;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0
M02144:85:000000000-B48VY:1:2103:15366:16982;size=6;	0	0	0	1	0	0	0	161	40	41	5	1	0	0	108	0
M02144:85:000000000-B48VY:1:2103:15379:22496;size=1;	4	4	55	23	67	6777	5015	5	4	3	3	52	51	287	4	1
M02144:85:000000000-B48VY:1:2103:15648:8304;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	5	47	0	0
M02144:85:000000000-B48VY:1:2103:15752:21544;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0
M02144:85:000000000-B48VY:1:2103:16081:5403;size=1;	0	0	0	0	0	0	0	12	1	0	0	0	3	1	0	0
M02144:85:000000000-B48VY:1:2103:16224:12183;size=1;	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	0
M02144:85:000000000-B48VY:1:2103:16491:7709;size=1;	0	0	0	29	12	0	0	0	0	11	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:16653:2104;size=1;	0	0	0	0	0	0	0	0	0	63	6	7	0	0	0	0
M02144:85:000000000-B48VY:1:2103:16853:22851;size=1;	0	0	0	0	0	0	0	2	1	0	0	0	9	13	0	0
M02144:85:000000000-B48VY:1:2103:16971:3870;size=1;	0	0	0	0	0	0	0	5	0	0	0	1	31	0	0	0
M02144:85:000000000-B48VY:1:2103:17307:14267;size=7;	10	1	0	33	12	0	0	1017	377	0	13	31	256	452	0	0
M02144:85:000000000-B48VY:1:2103:17307:5568;size=1;	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:17311:23026;size=1;	0	0	0	0	0	0	0	0	1	210	5	1	0	0	0	0
M02144:85:000000000-B48VY:1:2103:17347:12928;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0
M02144:85:000000000-B48VY:1:2103:17611:4056;size=1;	0	0	0	47	23	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:17788:13555;size=1;	1	0	5	1	1	0	1	966	744	1	0	5	813	36	9	1
M02144:85:000000000-B48VY:1:2103:17920:3881;size=1;	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:17931:13472;size=2;	83	2	0	0	0	1	0	0	0	0	2	10	0	0	0	0
M02144:85:000000000-B48VY:1:2103:18055:11837;size=1;	0	0	0	0	0	0	0	89	20	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:18104:19320;size=1;	7	7	0	0	7	2	1	0	3	0	0	29	1	0	12792	0
M02144:85:000000000-B48VY:1:2103:18444:7446;size=1;	0	0	0	1	0	254	168	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:18757:20467;size=1;	0	0	6	2	3	1	2	563	542	0	2	4	536	108	2	1
M02144:85:000000000-B48VY:1:2103:19075:25008;size=1;	0	0	0	0	0	0	0	94	70	0	0	0	75	2	0	0
M02144:85:000000000-B48VY:1:2103:19490:9099;size=1;	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:19661:1332;size=1;	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:19855:8657;size=1;	0	0	0	0	0	15	7	0	0	2	0	7	0	0	0	0
M02144:85:000000000-B48VY:1:2103:20019:19695;size=1;	0	0	0	8	14	0	0	0	0	0	4	1	0	0	0	0
M02144:85:000000000-B48VY:1:2103:20061:13836;size=1;	1	0	1	2	1	0	1	12	5	0	0	18	27	464	2	0
M02144:85:000000000-B48VY:1:2103:20224:3509;size=1;	1	0	0	0	2	2	0	0	0	4	1	116	143	883	227	1
M02144:85:000000000-B48VY:1:2103:20361:10114;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
M02144:85:000000000-B48VY:1:2103:20436:4274;size=1;	1	1	2	0	2	0	0	441	285	0	0	1	438	14	1	0
M02144:85:000000000-B48VY:1:2103:20513:3520;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	13	20	0	0
M02144:85:000000000-B48VY:1:2103:20617:15234;size=1;	0	0	0	0	0	0	0	0	0	23	2	5	0	0	0	0
M02144:85:000000000-B48VY:1:2103:20724:6976;size=1;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:20822:8473;size=1;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21255:11060;size=2;	0	0	0	0	1	0	0	0	0	85	2	9	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21261:17294;size=1;	0	0	0	0	0	0	0	36	15	0	0	0	33	0	0	0
M02144:85:000000000-B48VY:1:2103:21396:17358;size=1;	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21429:4336;size=1;	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21440:4914;size=1;	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21456:19050;size=1;	0	0	0	0	0	1	0	1	0	0	0	64	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21521:11402;size=1;	0	0	0	47	16	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21592:24209;size=1;	0	0	0	0	0	0	0	20	3	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:2103:21816:11421;size=1;	0	0	0	44	7	0	0	0	0	3	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21911:20819;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0
M02144:85:000000000-B48VY:1:2103:21937:15525;size=1;	0	0	0	0	0	0	0	9	10	0	1	1	117	37	0	0
M02144:85:000000000-B48VY:1:2103:21950:9689;size=1;	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:21962:21525;size=1;	0	0	0	0	0	1	0	125	151	0	0	0	4	5	0	0
M02144:85:000000000-B48VY:1:2103:22033:18929;size=1;	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:22296:8413;size=1;	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0
M02144:85:000000000-B48VY:1:2103:22374:14517;size=1;	1	1	4	5	8	1460	1148	2	2	6	1	242	4	20	2	4
M02144:85:000000000-B48VY:1:2103:22961:23822;size=1;	1	1	0	0	0	481	324	0	1	1	1	3	0	0	9	0
M02144:85:000000000-B48VY:1:2103:23107:18740;size=1;	0	0	0	0	0	0	0	212	208	0	0	0	23	30	0	0
M02144:85:000000000-B48VY:1:2103:23128:9101;size=1;	1	0	0	24	4	0	0	1	8	1	1	0	29	261	0	0
M02144:85:000000000-B48VY:1:2103:23320:8094;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0
M02144:85:000000000-B48VY:1:2103:23614:3535;size=1;	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:24819:11472;size=1;	0	0	0	67	27	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:24822:14552;size=1;	0	0	0	19	6	0	0	0	0	0	0	4	2	0	274	0
M02144:85:000000000-B48VY:1:2103:24893:17578;size=1;	2	2	44	1	2	2	3	2558	2634	1	3	11	1978	511	4	0
M02144:85:000000000-B48VY:1:2103:25126:13818;size=1;	0	0	0	5	2	212	2	270	38	0	0	234	0	0	0	0
M02144:85:000000000-B48VY:1:2103:25253:20486;size=1;	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:25289:22472;size=1;	0	0	0	0	0	0	0	0	1	0	0	0	15	2	0	0
M02144:85:000000000-B48VY:1:2103:26067:16038;size=1;	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:26143:14128;size=1;	0	0	0	0	0	0	0	229	85	0	0	0	148	0	0	0
M02144:85:000000000-B48VY:1:2103:26153:4623;size=1;	0	0	0	0	0	0	0	0	0	22	0	4	0	0	0	0
M02144:85:000000000-B48VY:1:2103:26202:8540;size=1;	0	0	0	0	0	0	0	2	4	0	0	0	3	5	0	0
M02144:85:000000000-B48VY:1:2103:26243:15204;size=1;	0	0	0	17	13	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:26434:21405;size=1;	0	0	0	0	0	0	0	69	35	0	0	0	82	14	0	0
M02144:85:000000000-B48VY:1:2103:26814:8783;size=1;	0	0	0	0	0	0	0	20	16	0	0	1	40	8	0	0
M02144:85:000000000-B48VY:1:2103:27509:15449;size=1;	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:27786:13821;size=1;	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:2103:27907:17707;size=1;	0	0	0	74	37	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:28174:13295;size=1;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:28351:14624;size=1;	0	0	2	0	0	0	0	48	48	0	1	7	138	217	0	1
M02144:85:000000000-B48VY:1:2103:28615:9619;size=1;	0	0	0	0	1	0	0	0	0	46	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:29373:12467;size=1;	0	0	0	0	0	0	0	14	15	0	0	0	1	1	0	0
M02144:85:000000000-B48VY:1:2103:4355:18496;size=1;	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:4401:14418;size=1;	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:4628:15307;size=1;	0	0	0	0	0	0	0	23	33	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:5370:15630;size=1;	0	0	0	0	0	0	0	0	0	86	14	23	0	0	0	0
M02144:85:000000000-B48VY:1:2103:5478:11132;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
M02144:85:000000000-B48VY:1:2103:5565:19217;size=1;	0	0	0	1	4	5	7	1	0	36	16	34	0	0	0	0
M02144:85:000000000-B48VY:1:2103:5836:22564;size=1;	0	0	0	0	0	0	0	5	12	0	0	0	13	8	0	0
M02144:85:000000000-B48VY:1:2103:5867:14523;size=1;	0	0	0	0	0	4	2	0	0	0	0	2	0	1	0	0
M02144:85:000000000-B48VY:1:2103:5909:15281;size=1;	0	0	0	1	1	419	417	0	2	2	0	4	0	0	23	0
M02144:85:000000000-B48VY:1:2103:6248:9168;size=1;	0	0	0	1	0	0	0	0	0	7	556	14	2	1	0	0
M02144:85:000000000-B48VY:1:2103:6749:14724;size=1;	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:2103:7014:8632;size=1;	0	0	0	0	0	0	0	69	31	0	0	1	350	7	0	0
M02144:85:000000000-B48VY:1:2103:7299:19170;size=1;	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0
M02144:85:000000000-B48VY:1:2103:7425:6045;size=1;	0	0	0	0	0	0	0	2	1	0	0	0	65	1	0	0
M02144:85:000000000-B48VY:1:2103:7426:20781;size=1;	0	0	0	0	0	0	0	26	13	0	0	0	1	0	0	0
M02144:85:000000000-B48VY:1:2103:7664:20040;size=1;	0	0	0	0	0	23	5	0	0	0	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:2103:7734:18824;size=2;	0	0	0	5	7	0	1	2	0	0	0	53	0	0	0	0
